# Luminosity of the BIB pair-dump runs themselves, read from their .ref files.
# lumi_ee: cm^-2 s^-1 = lumi_ee[m^-2 per crossing] * 1e-4 * n_b * f_rep,
#   with n_b and f_rep read from the same .ref (factor 1.596), applied once.
# n_pairs: pairs per bunch crossing, as the run counted them.
# ref_filename: path under $GP_RAW_ROOT (see paths.py).
dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,lumi_ee,n_pairs,ref_filename
nominal,8.0,153768,512,512,25,100000,2.1996072000000005e+34,67728,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref
nominal,8.0,159302,512,512,25,100000,2.2157746799999996e+34,68242,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref
nominal,8.0,167029,512,512,25,100000,2.2620108e+34,69592,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref
nominal,8.0,167815,512,512,25,100000,2.1560204400000003e+34,66258,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref
nominal,20.0,100805,512,512,25,100000,1.37731608e+34,47244,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref
nominal,20.0,105469,512,512,25,100000,1.357101144e+34,46918,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref
nominal,20.0,130471,512,512,25,100000,1.357232016e+34,46526,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref
nominal,20.0,135135,512,512,25,100000,1.374529464e+34,48198,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref
nominal,20.0,143455,512,512,25,100000,1.3669484640000001e+34,47168,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref
nominal,20.0,145992,512,512,25,100000,1.385154036e+34,48192,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref
nominal,20.0,153768,512,512,25,100000,1.3658695680000003e+34,46712,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref
