dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,frac_of_total_pct,reach_frac_of_total_pct,reach_pct,pt_median_MeV,pt_mean_MeV,pt_p90_MeV,pt_p99_MeV,pt_max_MeV,pt_median_reach_MeV,E_median_GeV,E_mean_GeV,theta_median_mrad,frac_pt_gt_20MeV
nominal,2.0,100805,512,512,25,100000,BW,2430,14,2.316447732169072,13.20754716981132,0.5761316872427984,1.570721547450956,5.160309693175842,13.447627561756724,37.23994070731596,375.5447110863454,22.244037682600343,0.0288982,0.5262867566711934,43.99658495296284,5.637860082304527
nominal,2.0,100805,512,512,25,100000,BH,56202,49,53.5757182894511,46.22641509433962,0.08718550941247642,3.3434048680390145,8.050707001160285,23.368756312054025,45.817147077620334,83.28157203522368,14.823876197904331,0.2508905,1.6031697982949182,11.53938418887164,13.289562649016048
nominal,2.0,100805,512,512,25,100000,LL,46270,43,44.10783397837982,40.56603773584906,0.0929327858223471,1.2868066332137837,5.196844979097284,15.351221721283022,48.78036379940773,91.3457550006914,14.979132575919818,0.018857850000000002,0.8601284482003889,56.50385484992596,7.283336935379295
nominal,2.0,100805,512,512,25,100000,ALL,104902,106,100.0,100.0,0.10104669119749862,2.1249295496591403,6.724975735605222,20.561269369168105,46.713971957360194,375.5447110863454,15.8782822192323,0.0797834,1.2504849204087052,21.946887096245817,10.46309889229948
nominal,2.0,105469,512,512,25,100000,BW,2490,17,2.3418102475359266,17.708333333333332,0.6827309236947792,1.4737504032285302,4.839618869986241,14.111644767327627,37.282522194753355,133.29774002765757,17.683999255502844,0.0239129,0.5965012775658635,50.39574605409454,5.943775100401607
nominal,2.0,105469,512,512,25,100000,BH,56624,42,53.25408170942743,43.75,0.07417349533766601,3.4408342100192764,8.101637253069153,23.27486515927439,45.67167611905297,85.61629875533704,16.144706417975893,0.2532835,1.612432872210211,11.246940262261251,13.192285956484884
nominal,2.0,105469,512,512,25,100000,LL,47214,37,44.40410804303664,38.541666666666664,0.07836658618206464,1.3171061084477724,5.321919747806953,15.691677809621524,49.30226304300858,188.36666429201875,18.76512052075558,0.019810349999999997,0.9547513201359342,55.11018606426282,7.391875291227179
nominal,2.0,105469,512,512,25,100000,ALL,106328,96,100.0,100.0,0.09028666014596344,2.1858734937042326,6.7909382079697815,20.550921065922036,46.74302739813715,188.36666429201875,17.867924217592748,0.08261415,1.2966040550566926,21.482580325378358,10.44691896772252
nominal,2.0,130471,512,512,25,100000,BW,2418,12,2.360221771044823,11.428571428571429,0.49627791563275436,1.6094164603456715,4.9755054245580865,14.065132397873464,36.53242339202583,215.15583498970437,13.94872376445698,0.030232050000000003,0.5984690896968569,48.833050572356875,5.334987593052109
nominal,2.0,130471,512,512,25,100000,BH,54724,47,53.41636732781509,44.76190476190476,0.0858855346831372,3.3435268074596163,8.022624820607984,23.291580470172153,45.587677080966145,229.96450432191463,15.588304261127744,0.2521115,1.5669902626058219,11.662527965296407,12.954096922739566
